o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
1,121959,O,26430.03,1992-12-24,3-MEDIUM,Clerk#000000439,0,Standard order
2,146868,O,22349.36,1995-12-12,3-MEDIUM,Clerk#000000332,0,Standard order
3,131933,P,20934.07,1995-09-20,1-URGENT,Clerk#000000331,0,Standard order
4,103695,O,24327.33,1993-08-22,4-NOT SPECIFIED,Clerk#000000507,0,Check address
5,119880,F,30620.1,1997-01-21,4-NOT SPECIFIED,Clerk#000000835,0,Lazy dog
6,110269,O,6024.81,1997-07-31,2-HIGH,Clerk#000000490,0,Check address
7,54887,P,36554.12,1993-07-18,1-URGENT,Clerk#000000527,0,Check address
8,137338,F,18085.03,1993-01-06,4-NOT SPECIFIED,Clerk#000000813,0,Standard order
9,87499,O,25525.14,1994-09-30,3-MEDIUM,Clerk#000000209,0,Lorem ipsum
10,112728,P,47382.48,1992-11-29,2-HIGH,Clerk#000000362,0,Lorem ipsum
11,126325,P,48801.24,1998-02-28,1-URGENT,Clerk#000000741,0,Lorem ipsum
12,16024,O,7206.56,1996-10-19,4-NOT SPECIFIED,Clerk#000000620,0,Check address
13,41091,P,20490.61,1992-12-26,2-HIGH,Clerk#000000192,0,Lazy dog
14,67222,O,15541.23,1998-04-28,1-URGENT,Clerk#000000232,0,Quick fox
15,64821,F,11498.64,1992-05-25,1-URGENT,Clerk#000000356,0,Lorem ipsum
16,770,F,39561.14,1996-01-28,3-MEDIUM,Clerk#000000586,0,Quick fox
17,59736,P,6339.73,1993-08-03,3-MEDIUM,Clerk#000000659,0,Quick fox
18,64926,F,14221.76,1993-03-04,1-URGENT,Clerk#000000908,0,Lazy dog
19,5312,O,7071.22,1997-07-06,2-HIGH,Clerk#000000599,0,Check address
20,103356,F,27643.75,1994-04-01,2-HIGH,Clerk#000000847,0,Check address
21,85306,F,3036.4,1997-03-23,1-URGENT,Clerk#000000894,0,Deliver ASAP
22,130609,O,15462.2,1995-06-06,4-NOT SPECIFIED,Clerk#000000856,0,Quick fox
23,84479,O,49370.79,1994-11-02,3-MEDIUM,Clerk#000000544,0,Check address
24,122538,P,2323.32,1993-10-10,2-HIGH,Clerk#000000824,0,Deliver ASAP
25,149504,O,45543.15,1996-03-02,4-NOT SPECIFIED,Clerk#000000725,0,Check address
26,130524,O,19565.42,1994-01-25,4-NOT SPECIFIED,Clerk#000000862,0,Lorem ipsum
27,2748,F,17376.25,1994-07-04,4-NOT SPECIFIED,Clerk#000000958,0,Deliver ASAP
28,123856,O,32374.35,1998-09-04,3-MEDIUM,Clerk#000000436,0,Quick fox
29,65726,O,46288.9,1994-03-28,4-NOT SPECIFIED,Clerk#000000864,0,Deliver ASAP
30,129982,F,9762.65,1997-05-28,2-HIGH,Clerk#000000130,0,Check address
31,84655,P,16557.71,1994-07-22,2-HIGH,Clerk#000000357,0,Quick fox
32,119347,O,25334.01,1992-07-28,3-MEDIUM,Clerk#000000738,0,Quick fox
33,67436,F,47680.63,1998-04-25,1-URGENT,Clerk#000000086,0,Check address
34,56887,P,46264.77,1997-07-14,4-NOT SPECIFIED,Clerk#000000545,0,Lorem ipsum
35,66804,P,21610.11,1992-06-25,4-NOT SPECIFIED,Clerk#000000043,0,Quick fox
36,31552,P,2117.65,1992-03-27,2-HIGH,Clerk#000000843,0,Lorem ipsum
37,116217,P,17254.29,1993-12-19,4-NOT SPECIFIED,Clerk#000000285,0,Lazy dog
38,11395,F,16700.35,1996-07-13,1-URGENT,Clerk#000000180,0,Deliver ASAP
39,69093,P,41378.6,1998-05-10,2-HIGH,Clerk#000000302,0,Lorem ipsum
40,3891,F,23436.19,1993-11-14,1-URGENT,Clerk#000000936,0,Quick fox
41,41607,P,8660.65,1992-01-07,4-NOT SPECIFIED,Clerk#000000607,0,Lazy dog
42,87314,F,23313.11,1997-04-05,3-MEDIUM,Clerk#000000391,0,Lazy dog
43,141700,P,29280.93,1993-01-10,3-MEDIUM,Clerk#000000275,0,Quick fox
44,8793,F,9372.06,1996-02-29,3-MEDIUM,Clerk#000000630,0,Quick fox
45,68149,O,8427.53,1998-03-11,1-URGENT,Clerk#000000064,0,Lorem ipsum
46,124244,O,42653.16,1996-09-14,2-HIGH,Clerk#000000049,0,Lorem ipsum
47,120175,F,12654.03,1998-03-20,3-MEDIUM,Clerk#000000428,0,Check address
48,124359,P,8515.26,1995-08-17,2-HIGH,Clerk#000000985,0,Deliver ASAP
49,48556,O,1786.26,1993-05-14,1-URGENT,Clerk#000000159,0,Quick fox
50,17160,O,18962.04,1995-01-19,1-URGENT,Clerk#000000971,0,Standard order
